WADL ID,Batch,IT ID,Unit Cell Type,Mass (g),x_bend (mm),x _stretch (mm),x_vert (mm),x_joint (mm),Energy Absorbed (J),Energy Absorbed per Unit Mass (J/g)
1,1,,Octet,0.84,0.44,0.44,0,0.42,3.66,4.359
2,1,"166
167
171
261
262",Octet,0.83,0.38,0.38,0,0.85,3.52,4.26
3,1,,Octet,0.81,0.34,0.34,0,1.01,3.6,4.437
4,1,,Octet,0.8,0.3,0.3,0,1.14,3.27,4.101
5,1,,Octet,0.8,0.38,0.3,0,0.96,3.33,4.134
6,1,,Octet,0.8,0.34,0.38,0,0.96,3.17,3.939
7,1,,Octet,0.8,0.3,0.38,0,1.05,3.23,4.049
8,1,,Octet,0.83,0.38,0.46,0,0.67,3.69,4.43
9,1,,Octet,0.86,0.34,0.61,0,0.33,3.28,3.796
10,1,,Octet,0.82,0.38,0.34,0,0.91,3.43,4.209
11,1,,Octet,0.82,0.42,0.3,0,0.84,3.58,4.378
12,1,,Octet,0.82,0.34,0.57,0,0.51,3.21,3.922
13,1,,Octet,0.82,0.42,0.34,0,0.77,3.44,4.175
14,1,,Octet,0.84,0.38,0.42,0,0.77,3.51,4.188
15,1,,Octet,0.87,0.34,0.49,0,0.74,3.56,4.087
16,1,,Octet,0.89,0.42,0.46,0,0.47,3.5,3.95
17,1,,Octet,0.84,0.38,0.53,0,0.43,3.63,4.315
18,1,,Octet,0.8,0.3,0.42,0,1,3.42,4.3
19,1,,Octet,0.82,0.46,0.34,0,0.58,3.4,4.147
20,1,,Octet,0.86,0.3,0.65,0,0.38,3.32,3.882
21,1,,Octet,0.82,0.3,0.34,0,1.1,3.14,3.84
22,1,,Octet,0.89,0.49,0.34,0,0.31,3.2,3.615
23,1,,Octet,0.81,0.3,0.53,0,0.78,3.42,4.232
24,1,,Octet,0.8,0.34,0.53,0,0.64,3.71,4.63
25,1,,Octet,0.8,0.3,0.49,0,0.86,3.33,4.163
26,1,,Octet,0.82,0.46,0.3,0,0.67,3.22,3.936
27,1,,Octet,0.81,0.34,0.46,0,0.82,3.5,4.319
28,1,,Octet,0.81,0.3,0.61,0,0.56,3.22,3.971
29,1,,Octet,0.82,0.46,0.42,0,0.34,3.54,4.298
30,1,"196
200",Octet,0.79,0.42,0.38,0,0.69,3.63,4.586
31,1,,Octet,0.82,0.38,0.57,0,0.22,3.32,4.042
32,1,,Octet,0.83,0.42,0.49,0,0.33,3.81,4.564
33,1,,Octet,0.79,0.3,0.46,0,0.94,3.55,4.484
34,1,,Octet,0.78,0.34,0.3,0,1.06,3.32,4.283
35,1,,Octet,0.78,0.3,0.57,0,0.68,3.2,4.093
36,1,,Octet,0.81,0.49,0.3,0,0.44,3.14,3.881
37,2,,Octet,0.83,0.44,0.44,0,0.42,3.77,4.532
38,2,,Octet,0.84,0.46,0.38,0,0.48,3.87,4.578
39,2,,Octet,0.83,0.38,0.49,0,0.57,3.98,4.777
40,2,,Octet,0.81,0.34,0.42,0,0.9,3.81,4.724
41,2,,Octet,0.82,0.42,0.42,0,0.6,3.9,4.746
42,2,,Octet,0.81,0.36,0.32,0,0.99,3.6,4.464
43,2,,Octet,0.79,0.28,0.34,0,1.14,3.3,4.175
44,2,,Octet,0.87,0.51,0.3,0,0.31,3.7,4.23
45,2,,Octet,0.83,0.38,0.44,0,0.72,3.62,4.34
46,2,,Octet,0.82,0.32,0.42,0,0.95,3.46,4.219
47,2,,Octet,0.8,0.28,0.42,0,1.04,3.29,4.118
48,2,,Octet,0.79,0.36,0.28,0,1.04,3.51,4.447
49,2,,Octet,0.82,0.4,0.47,0,0.53,3.74,4.554
50,2,,Octet,0.84,0.36,0.49,0,0.66,3.83,4.531
51,2,,Octet,0.85,0.36,0.46,0,0.76,3.71,4.354
52,2,,Octet,0.84,0.32,0.57,0,0.6,3.61,4.291
53,2,,Octet,0.82,0.38,0.51,0,0.51,3.75,4.566
54,2,,Octet,0.8,0.3,0.51,0,0.82,3.47,4.341
55,2,,Octet,0.79,0.36,0.47,0,0.71,3.65,4.6
56,2,"25
215
224
233",Octet,0.83,0.47,0.28,0,0.62,3.43,4.138
57,2,"97
115
133",Octet,0.86,0.47,0.38,0,0.33,3.7,4.3
58,2,"87
105
123",Octet,0.81,0.28,0.47,0,0.95,3.61,4.436
59,2,,Octet,0.81,0.44,0.32,0,0.72,3.82,4.701
60,2,,Octet,0.78,0.38,0.28,0,0.99,3.75,4.801
61,2,,Octet,0.77,0.3,0.36,0,1.08,3.33,4.317
62,2,,Octet,0.82,0.36,0.53,0,0.54,3.82,4.642
63,2,,Octet,0.78,0.32,0.3,0,1.1,3.41,4.352
64,2,,Octet,0.79,0.32,0.32,0,1.08,3.55,4.518
65,2,,Octet,0.78,0.28,0.59,0,0.7,3.63,4.639
66,2,,Octet,0.78,0.4,0.46,0,0.59,3.93,5.003
67,2,"165
169
173",Octet,0.79,0.38,0.47,0,0.63,3.77,4.788
68,2,,Octet,0.77,0.28,0.36,0,1.11,3.42,4.407
69,2,"216
225
234",Octet,0.8,0.47,0.36,0,0.41,3.68,4.61
70,2,,Octet,0.82,0.28,0.68,0,0.29,3.49,4.269
71,2,,Octet,0.8,0.44,0.42,0,0.48,3.95,4.946
72,2,12,Octet,0.77,0.3,0.47,0,0.9,3.73,4.823
73,3,,Octet,0.82,0.44,0.44,0,0.42,4.14,5.049
74,3,,Octet,0.81,0.36,0.4,0,0.87,4,4.939
75,3,,Octet,0.79,0.34,0.28,0,1.08,3.65,4.639
76,3,271,Octet,0.81,0.44,0.34,0,0.69,4.15,5.11
77,3,,Octet,0.8,0.28,0.57,0,0.75,3.66,4.588
78,3,,Octet,0.77,0.32,0.38,0,1.01,3.62,4.681
79,3,,Octet,0.8,0.32,0.59,0,0.53,3.72,4.657
80,3,,Octet,0.81,0.28,0.51,0,0.88,3.82,4.706
81,3,,Octet,0.82,0.36,0.44,0,0.8,4.18,5.073
82,3,,Octet,0.85,0.46,0.44,0,0.25,4.29,5.05
83,3,,Octet,0.82,0.4,0.51,0,0.38,4.23,5.136
84,3,,Octet,0.77,0.36,0.3,0,1.02,3.65,4.732
85,3,,Octet,0.79,0.32,0.47,0,0.84,3.55,4.499
86,3,,Octet,0.82,0.38,0.4,0,0.81,3.89,4.731
87,3,,Octet,0.88,0.36,0.59,0,0.28,4.08,4.616
88,3,,Octet,0.83,0.36,0.38,0,0.9,3.77,4.553
89,3,,Octet,0.81,0.32,0.61,0,0.45,3.73,4.594
90,3,"86
104
122",Octet,0.77,0.28,0.28,0,1.2,3.27,4.254
91,3,,Octet,0.79,0.44,0.3,0,0.76,3.83,4.828
92,3,,Octet,0.84,0.47,0.32,0,0.52,3.98,4.708
93,3,,Octet,0.84,0.32,0.49,0,0.8,3.73,4.464
94,3,,Octet,0.86,0.44,0.47,0,0.22,4.31,5.03
95,3,,Octet,0.81,0.36,0.51,0,0.6,3.79,4.691
96,3,,Octet,0.82,0.3,0.66,0,0.26,3.54,4.309
97,3,,Octet,0.8,0.32,0.65,0,0.23,3.7,4.611
98,3,,Octet,0.79,0.28,0.49,0,0.92,3.52,4.458
99,3,,Octet,0.81,0.36,0.55,0,0.48,3.79,4.654
100,3,,Octet,0.78,0.4,0.28,0,0.93,4.07,5.251
101,3,,Octet,0.77,0.32,0.44,0,0.92,3.83,4.957
102,3,,Octet,0.77,0.4,0.44,0,0.64,3.79,4.932
103,3,,Octet,0.8,0.3,0.63,0,0.48,3.5,4.372
104,3,"138
147
156",Octet,0.77,0.28,0.38,0,1.09,3.48,4.549
105,3,,Octet,0.78,0.3,0.55,0,0.74,3.73,4.765
106,3,,Octet,0.76,0.28,0.3,0,1.18,3.4,4.454
107,3,,Octet,0.77,0.34,0.36,0,0.99,3.88,5.065
108,3,,Octet,0.78,0.42,0.44,0,0.54,3.99,5.099
109,4,,Octet,0.82,0.44,0.44,0,0.42,4.14,5.04
110,4,195,Octet,0.84,0.46,0.32,0,0.63,4.01,4.771
111,4,,Octet,0.83,0.42,0.47,0,0.41,4.43,5.346
112,4,,Octet,0.78,0.32,0.28,0,1.12,3.64,4.688
113,4,,Octet,0.81,0.42,0.4,0,0.64,4.25,5.265
114,4,,Octet,0.77,0.36,0.36,0,0.93,3.67,4.769
115,4,,Octet,0.79,0.46,0.28,0,0.71,3.99,5.023
116,4,,Octet,0.83,0.32,0.51,0,0.76,3.78,4.582
117,4,,Octet,0.82,0.42,0.32,0,0.8,3.98,4.86
118,4,,Octet,0.82,0.36,0.42,0,0.83,3.86,4.711
119,4,,Octet,0.79,0.28,0.4,0,1.07,3.52,4.433
